"10uF","C5,C1,C19","0805",C15850,Samsung,CL21A106KAYNNNE
"100nF","C12,C18,C11,C16,C14,C2,C21,C17,C13,C20,C15,C8,C79","0402",C1525,Samsung,CL05B104KO5NNNC
"4.7uF","C9,C6,C7,C10","0402",C307423,Samsung,CL05A475MQ5NRNC
"15pF","C4,C3","0402",C86285,Samsung,CL05C150JB5NNNC
"0Ω","R10","0402",C17168,Uniroyal,0402WGF0000TCE
"27Ω","R7,R8","0402",C25100,Uniroyal,0402WGF270JTCE
"33Ω","R3","0402",C25105,Uniroyal,0402WGF330JTCE
"100Ω","R43,R16,R25,R32,R11,R19,R20,R12,R28,R15,R14,R26,R29,R23,R17,R22,R31","0402",C25076,Uniroyal,0402WGF1000TCE
"120Ω","R37","0402",---,---,---
"140Ω","R5,R30,R4,R18,R13,R27,R24,R21","0402",C25081,Uniroyal,0402WGF1400TCE
"1kΩ","R6,R2","0402",C11702,Uniroyal,0402WGF1001TCE
"10kΩ","R35,R41,R34,R40,R38,R33,R36","0402",---,---,---
"47kΩ","R42","0402",---,---,---
"100kΩ","R39","0402",---,---,---
"BC847","Q1","SOT-23",C7420337,hongjiacheng,BC847C
"USB B Micro","J2","USB_Micro-B_Amphenol_10103594-0001LF_Horizontal",C428495,Amphenol,10103594-0001LF
"NCP1117 3.3V","U4","SOT-223-3",C26537,onsemi,NCP1117ST33T3G
"Debug Connector","J3,J6",---,---,JST,SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal

"Gauge","U2","WDFN-8-1EP_4x3mm_P0.65mm_EP2.4x1.8mm",onsemi,"LC709203FQH-01TWG"
"100m (0.1F?) 5v5 Supercapacitor","C23",---,---,Kemet,FC_10.5X5.5
"Diode","D1","0402",C2837790,"ROHM Semicon",RB161QS-40T18R
"Reverse-mount RGB LED","D3,D5,D6,D7,D9,D8,D4,D2",---,---,---,---
"RTC","Y1",---,---,MicroCrystal,RV3028C7
"Side-mount tactile switch","SW1","SMD,4.5x4.7mm",C128539,Panasonic,EVQPUA02K
